"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";
070;"/rram_busy";2;0;0.00 mils;3937.01 mils;0.00 mils;3937.01 mils;
089;"/sclk";2;0;0.00 mils;3937.02 mils;0.00 mils;3937.02 mils;
090;"/sc";2;0;0.00 mils;3937.28 mils;0.00 mils;3937.28 mils;
091;"/mosi";2;2;104.49 mils;3832.61 mils;0.00 mils;3937.10 mils;
092;"/read_dac_config_1";2;1;9.12 mils;3919.43 mils;0.00 mils;3928.55 mils;
093;"/rst_n";2;0;0.00 mils;3937.02 mils;0.00 mils;3937.02 mils;
094;"/read_dac_config_0";2;1;52.25 mils;3833.52 mils;0.00 mils;3885.76 mils;
095;"/byp";3;1;61.37 mils;3539.87 mils;0.00 mils;3601.24 mils;
096;"/man";3;1;61.37 mils;3217.64 mils;0.00 mils;3279.01 mils;
097;"/di_42";2;1;52.25 mils;3833.21 mils;0.00 mils;3885.46 mils;
098;"/clamp_ref_1";2;1;52.25 mils;3832.71 mils;0.00 mils;3884.96 mils;
099;"/clamp_ref_2";2;1;52.25 mils;3832.61 mils;0.00 mils;3884.86 mils;
100;"/clamp_ref_3";2;1;9.12 mils;3927.91 mils;0.00 mils;3937.03 mils;
101;"/clamp_ref_4";2;1;9.12 mils;3918.77 mils;0.00 mils;3927.90 mils;
102;"/wl_dac_config_0";2;1;52.25 mils;3832.92 mils;0.00 mils;3885.17 mils;
103;"/core_pwr";9;4;245.48 mils;2419.02 mils;0.00 mils;2664.50 mils;
104;"/vdd_fsm";9;0;0.00 mils;0.00 mils;0.00 mils;0.00 mils;
105;"/vdd";11;0;0.00 mils;0.00 mils;0.00 mils;0.00 mils;
106;"/vdd_dac";7;0;0.00 mils;0.00 mils;0.00 mils;0.00 mils;
107;"/vsa";6;0;0.00 mils;0.00 mils;0.00 mils;0.00 mils;
110;"/io_pwr";8;4;245.48 mils;2755.67 mils;0.00 mils;3001.15 mils;
111;"/vddio_fsm";17;0;0.00 mils;0.00 mils;0.00 mils;0.00 mils;
112;"/vddio";13;0;0.00 mils;0.00 mils;0.00 mils;0.00 mils;
113;"/vddio_dac";13;0;0.00 mils;0.00 mils;0.00 mils;0.00 mils;
116;"/wl_source_pin";2;0;0.00 mils;2380.95 mils;0.00 mils;2380.95 mils;
117;"/bl_source_pin";3;0;0.00 mils;5710.48 mils;0.00 mils;5710.48 mils;
118;"/sl_source_pin";3;0;0.00 mils;4810.73 mils;0.00 mils;4810.73 mils;
119;"/iref_test";2;0;0.00 mils;5828.94 mils;0.00 mils;5828.94 mils;
120;"/vdd_test";2;0;0.00 mils;5487.40 mils;0.00 mils;5487.40 mils;
282;"/di_47";2;1;52.25 mils;3884.76 mils;0.00 mils;3937.01 mils;
283;"/di_21";2;1;9.12 mils;3919.18 mils;0.00 mils;3928.31 mils;
284;"/rram_addr_0";2;1;9.12 mils;3927.94 mils;0.00 mils;3937.06 mils;
